Year	fossil fuel and cement emissions GtC/y
1959	2.45
1960	2.57
1961	2.58
1962	2.69
1963	2.83
1964	3.00
1965	3.13
1966	3.29
1967	3.39
1968	3.57
1969	3.78
1970	4.05
1971	4.21
1972	4.38
1973	4.61
1974	4.62
1975	4.60
1976	4.86
1977	5.02
1978	5.07
1979	5.36
1980	5.30
1981	5.14
1982	5.09
1983	5.08
1984	5.26
1985	5.42
1986	5.58
1987	5.73
1988	5.94
1989	6.07
1990	6.09
1991	6.17
1992	6.12
1993	6.12
1994	6.23
1995	6.32
1996	6.48
1997	6.57
1998	6.59
1999	6.62
2000	6.79
2001	6.97
2002	7.07
2003	7.47
2004	7.85
2005	8.23
2006	8.53
2007	8.78
2008	8.96
2009	8.87
2010	9.21
2011	9.54
2012	9.69
2013	9.82
2014	9.89
2015	9.90
2016	9.98
